_id,Unnamed: 0,Title,Date_of_Release,Rating,Description,Up_System
45,45,Coyote Ugly,2000,5.7,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",CM
46,46,Men of Honor,2000,7.2,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",CM
47,47,The Family Man,2000,6.8,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",CM
48,48,Frequency,2000,7.4,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",CM
49,49,Gladiator,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,CM
50,50,Memento,2000,8.5,A man with short-term memory loss attempts to track down his wife's murderer.,CM
51,51,Snatch,2000,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",CM
52,52,Requiem for a Dream,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,CM
53,53,X-Men,2000,7.4,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",CM
54,54,Cast Away,2000,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,CM
55,55,American Psycho,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",CM
56,56,Unbreakable,2000,7.3,A man learns something extraordinary about himself after a devastating accident.,CM
57,57,Meet the Parents,2000,7,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",CM
58,58,Mission: Impossible II,2000,6.1,"IMF Agent Ethan Hunt is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",CM
59,59,"O Brother, Where Art Thou?",2000,7.8,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",CM
60,60,Gone in 60 Seconds,2000,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,CM
61,61,"Crouching Tiger, Hidden Dragon",2000,7.9,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,CM
62,62,The Patriot,2000,7.2,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,CM
63,63,Almost Famous,2000,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,CM
64,64,Scary Movie,2000,6.2,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",CM
65,65,Pitch Black,2000,7.1,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",CM
66,66,Final Destination,2000,6.7,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",CM
67,67,"Me, Myself & Irene",2000,6.6,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,CM
68,68,The Beach,2000,6.6,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",CM
69,69,Amores Perros,2000,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",CM
70,70,Traffic,2000,7.6,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",CM
71,71,Remember the Titans,2000,7.8,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,CM
72,72,How the Grinch Stole Christmas,2000,6.1,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",CM
73,73,What Women Want,2000,6.4,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",CM
74,74,Miss Congeniality,2000,6.2,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,CM
75,75,Chocolat,2000,7.3,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,CM
76,76,Chicken Run,2000,7,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",CM
77,77,Charlie's Angels,2000,5.5,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",CM
78,78,The Emperor's New Groove,2000,7.4,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",CM
